Rank,Markets,Base price,24h trade volume,24h volume
470,XRP/TUSD,$0.4769,$657860.39,$657860.39
471,SNGLS/BTC,$0.01035,$656456.60,$656456.60
472,NAS/ETH,$0.4293,$649673.91,$649673.91
473,IOTX/ETH,$0.01559,$649002.57,$649002.57
474,ANT/BNB,$5.73,$646361.90,$646361.90
475,SWRV/BNB,$1.71,$630640.86,$630640.86
476,STPT/BTC,$0.02681,$621307.09,$621307.09
477,ETC/BNB,$9.68,$614631.09,$614631.09
478,WAN/ETH,$0.6308,$609036.48,$609036.48
479,ZEC/USDC,$108.72,$602282.62,$602282.62
480,DLT/BTC,$0.0879,$593816.76,$593816.76
481,LTC/TUSD,$176.59,$589851.07,$589851.07
482,ENJ/ETH,$0.4257,$588382.77,$588382.77
483,FTT/BNB,$18.69,$586496.11,$586496.11
484,ICX/BNB,$0.9426,$585895.42,$585895.42
485,QTUM/ETH,$4.95,$583678.88,$583678.88
486,SC/BNB,$0.01050,$569271.33,$569271.33
487,FTM/BNB,$0.1519,$562649.53,$562649.53
488,GXS/BTC,$0.4764,$560494.98,$560494.98
489,ALGO/TUSD,$1.04,$558092.28,$558092.28
490,CRV/BNB,$3.23,$549304.99,$549304.99
491,RCN/BTC,$0.0710,$546971.16,$546971.16
492,TRX/TUSD,$0.0477,$536081.76,$536081.76
493,IQ/BNB,$0.00604,$533703.44,$533703.44
494,YFII/BNB,$2350.20,$524993.76,$524993.76
495,WPR/BTC,$0.01646,$522951.32,$522951.32
496,MDA/BTC,$0.8776,$522265.92,$522265.92
497,VITE/BTC,$0.02963,$517527.42,$517527.42
498,NAS/BTC,$0.4327,$517189.13,$517189.13
499,IOST/ETH,$0.02090,$516648.40,$516648.40
500,WIN/USDC,$0.000172,$505117.99,$505117.99
501,NXS/BTC,$0.5286,$501195.73,$501195.73
502,CVP/ETH,$3.03,$498079.68,$498079.68
503,QLC/ETH,$0.0526,$497813.45,$497813.45
504,SRM/BNB,$3.36,$493051.35,$493051.35
505,IOST/BNB,$0.02096,$490947.83,$490947.83
506,CDT/BTC,$0.01693,$489443.00,$489443.00
507,HBAR/BNB,$0.1086,$488618.55,$488618.55
508,LOOM/ETH,$0.0702,$486457.04,$486457.04
509,CHZ/BNB,$0.02709,$484481.31,$484481.31
510,CTXC/BTC,$0.1561,$478659.75,$478659.75
511,SUSD/USDT,$1.01,$477119.98,$477119.98
512,DASH/BNB,$131.38,$468099.81,$468099.81
513,ADA/TUSD,$0.6914,$451428.19,$451428.19
514,NAV/BTC,$0.3306,$448554.82,$448554.82
515,XMR/BNB,$170.18,$442834.62,$442834.62
516,ANKR/BNB,$0.02000,$436126.39,$436126.39
517,DIA/BNB,$2.63,$435702.51,$435702.51
518,RVN/BNB,$0.0420,$410802.39,$410802.39
519,ENJ/BNB,$0.4310,$408674.05,$408674.05
520,BCPT/BTC,$0.02210,$407615.94,$407615.94
521,BAT/BNB,$0.4376,$399640.45,$399640.45
522,ZEN/BNB,$43.41,$378650.16,$378650.16
523,STRAX/ETH,$0.9515,$376901.79,$376901.79
524,ZEC/BNB,$109.13,$375566.42,$375566.42
525,RLC/ETH,$1.68,$375133.83,$375133.83
526,NEBL/ETH,$1.62,$374931.10,$374931.10
527,BAT/ETH,$0.4327,$373953.69,$373953.69
528,CND/BTC,$0.01646,$367201.87,$367201.87
529,STEEM/ETH,$0.2541,$366418.53,$366418.53
530,AXS/BNB,$1.29,$363454.91,$363454.91
531,ARPA/BNB,$0.03416,$359646.12,$359646.12
532,CTSI/BNB,$0.0914,$353685.98,$353685.98
533,MKR/BNB,$2553.49,$353554.42,$353554.42
534,PERL/BNB,$0.0648,$343996.15,$343996.15
535,LSK/ETH,$1.88,$340522.84,$340522.84
536,BLZ/ETH,$0.1700,$339581.32,$339581.32
537,KAVA/BNB,$4.03,$324778.02,$324778.02
538,QKC/ETH,$0.01118,$323885.99,$323885.99
539,PHB/TUSD,$0.00652,$323483.62,$323483.62
540,XRP/PAX,$0.4768,$319904.37,$319904.37
541,ONT/BNB,$0.8488,$317877.35,$317877.35
542,VIB/ETH,$0.0391,$306221.71,$306221.71
543,PIVX/ETH,$0.5642,$304285.45,$304285.45
544,AVA/BNB,$1.88,$302594.83,$302594.83
545,POWR/ETH,$0.1501,$299147.79,$299147.79
546,SNT/ETH,$0.0692,$284746.23,$284746.23
547,WAN/BNB,$0.6347,$283857.88,$283857.88
548,MITH/BNB,$0.01634,$272545.88,$272545.88
549,FUN/ETH,$0.0374,$267725.25,$267725.25
550,MANA/ETH,$0.2391,$264674.57,$264674.57
551,CHR/BNB,$0.0542,$258668.05,$258668.05
552,TRX/PAX,$0.0480,$255811.06,$255811.06
553,MTL/ETH,$0.6904,$253277.49,$253277.49
554,WABI/BNB,$0.1589,$246395.16,$246395.16
555,ADX/ETH,$0.6152,$244580.47,$244580.47
556,QSP/ETH,$0.0438,$231189.26,$231189.26
557,BRD/ETH,$0.1566,$222577.61,$222577.61
558,SUSD/BTC,$1.01,$218304.12,$218304.12
559,ELF/ETH,$0.1964,$213896.93,$213896.93
560,BLZ/BNB,$0.1715,$206714.68,$206714.68
561,WRX/BNB,$0.1423,$204332.96,$204332.96
562,COS/BNB,$0.01360,$202325.80,$202325.80
563,LINK/TUSD,$26.54,$201682.79,$201682.79
564,GXS/ETH,$0.4766,$200953.90,$200953.90
565,ATOM/USDC,$15.09,$188351.34,$188351.34
566,CMT/ETH,$0.01069,$181491.82,$181491.82
567,RENBTC/BTC,$47344.27,$180832.17,$180832.17
568,KMD/ETH,$0.8516,$180055.99,$180055.99
569,BCH/TUSD,$507.31,$177920.01,$177920.01
570,CDT/ETH,$0.01687,$177291.85,$177291.85
571,GHST/ETH,$0.8087,$176841.65,$176841.65
572,BNT/ETH,$2.71,$156910.08,$156910.08
573,BNB/PAX,$103.20,$151681.59,$151681.59
574,AION/ETH,$0.0929,$143955.45,$143955.45
575,REP/ETH,$23.43,$143397.48,$143397.48
576,DATA/ETH,$0.0773,$138093.32,$138093.32
577,PROM/BNB,$5.45,$134886.78,$134886.78
578,WTC/BNB,$0.5789,$130356.57,$130356.57
579,DF/ETH,$0.2402,$116282.81,$116282.81
580,BCH/PAX,$507.81,$113269.92,$113269.92
581,BAT/USDC,$0.4346,$108264.61,$108264.61
582,CVC/ETH,$0.2427,$105358.69,$105358.69
583,WNXM/BNB,$55.35,$104305.27,$104305.27
584,SUSD/ETH,$1.01,$99316.96,$99316.96
585,LTC/PAX,$176.30,$85353.56,$85353.56
586,NMR/BNB,$38.85,$78202.79,$78202.79
587,RENBTC/ETH,$47994.03,$38076.48,$38076.48
588,BGBP/USDC,$1.39,$13906.14,$13906.14
589,MFT/BTC,$0.00376,$9867.86,$9867.86
590,USDC/BNB,$22.94,$5995.98,$5995.98
591,ERD/USDT,$0.01975,$4391.34,$4391.34
592,DGD/ETH,$337.48,$3496.30,$3496.30
593,BCH/BTC,$1379.39,$2029.09,$2029.09
594,INS/BTC,$0.2906,$1866.53,$1866.53
595,LUN/BTC,$4.00,$1791.85,$1791.85
596,PHX/BTC,$0.0847,$1399.25,$1399.25
597,BTG/ETH,$92.42,$1231.06,$1231.06
598,CND/ETH,$0.0455,$1153.82,$1153.82
599,ENG/BTC,$2.92,$1035.13,$1035.13
600,LEND/BTC,$2.12,$986.73,$986.73
601,NXS/ETH,$1.35,$973.60,$973.60
602,SUB/BTC,$0.2149,$961.59,$961.59
603,OST/BNB,$0.0554,$938.26,$938.26
604,TUSD/TUSD,$0.9990,$883.49,$883.49
605,TUSD/BTC,$12.21,$879.42,$879.42
606,NXS/BNB,$1.15,$820.04,$820.04
607,FIRO/USDT,$4.46,$748.13,$748.13
608,GO/BNB,$0.0730,$739.87,$739.87
609,CVC/BNB,$0.2227,$705.24,$705.24
610,DAI/BTC,$4.22,$704.19,$704.19
611,PAX/BTC,$11.84,$698.55,$698.55
612,BTS/ETH,$0.1664,$675.03,$675.03
613,APPC/BNB,$0.1994,$664.54,$664.54
614,USDC/TUSD,$1.00,$650.98,$650.98
615,TCT/BNB,$0.0441,$646.29,$646.29
616,PAX/BNB,$21.22,$636.45,$636.45
617,SYS/ETH,$0.1936,$634.91,$634.91
618,AMB/ETH,$0.0718,$633.21,$633.21
619,PPT/ETH,$2.47,$632.49,$632.49
620,GTO/USDC,$0.01197,$598.26,$598.26
621,NAV/ETH,$0.8533,$515.42,$515.42
622,BNB/USDS,$28.40,$511.17,$511.17
623,BCH/PAX,$221.38,$501.13,$501.13
624,TFUEL/USDC,$0.00357,$500.22,$500.22
625,GRS/ETH,$1.34,$484.96,$484.96
626,SALT/BTC,$2.00,$454.90,$454.90
627,POWR/BNB,$0.4059,$446.53,$446.53
628,ERD/BNB,$0.0878,$437.86,$437.86
629,PHX/BNB,$0.0481,$430.50,$430.50
630,EOS/PAX,$2.59,$387.99,$387.99
631,APPC/ETH,$0.2558,$379.39,$379.39
632,BULL/USDT,$1373.38,$377.16,$377.16
633,DREP/BNB,$0.00989,$363.75,$363.75
634,EDO/ETH,$3.97,$357.35,$357.35
635,FIRO/ETH,$5.43,$352.64,$352.64
636,ERD/BTC,$0.0790,$316.04,$316.04
637,ARDR/BNB,$0.3340,$315.99,$315.99
638,MCO/BNB,$28.30,$314.09,$314.09
639,AE/BTC,$0.1373,$310.91,$310.91
640,ALGO/PAX,$0.2041,$299.59,$299.59
641,DLT/BNB,$0.2531,$285.19,$285.19
642,KEY/BTC,$0.00611,$264.71,$264.71
643,WINGS/BTC,$0.5611,$260.34,$260.34
644,MOD/BTC,$2.01,$257.09,$257.09
645,ADX/BNB,$0.5197,$239.58,$239.58
646,BTCB/BTC,$47030.11,$235.15,$235.15
647,BTT/BTC,$0.00235,$235.15,$235.15
648,HC/ETH,$9.00,$230.30,$230.30
649,SUB/ETH,$0.2161,$216.12,$216.12
650,YOYO/ETH,$0.1021,$214.45,$214.45
651,MTH/ETH,$0.0725,$205.70,$205.70
652,TUSD/BNB,$7.15,$200.07,$200.07
653,HOT/BTC,$0.000941,$193.89,$193.89
654,ERD/PAX,$0.001254,$183.36,$183.36
655,DAI/USDT,$1.02,$170.54,$170.54
656,STORM/BNB,$0.00691,$157.08,$157.08
657,YOYO/BNB,$0.0631,$150.19,$150.19
658,NULS/ETH,$0.9099,$150.13,$150.13
659,RLC/BNB,$3.53,$149.14,$149.14
660,TUSD/ETH,$13.35,$146.89,$146.89
661,AE/ETH,$0.3837,$145.45,$145.45
662,DUSK/USDC,$0.01791,$142.92,$142.92
663,BRD/BNB,$0.2604,$141.67,$141.67
664,VITE/BNB,$0.0745,$137.98,$137.98
665,LEND/USDT,$0.5155,$135.47,$135.47
666,PAX/TUSD,$1.00,$132.99,$132.99
667,COCOS/BTC,$0.00141,$132.28,$132.28
668,ZRX/BNB,$1.10,$126.60,$126.60
669,STORM/USDT,$0.00340,$122.97,$122.97
670,ATOM/TUSD,$2.60,$121.33,$121.33
671,AGI/ETH,$0.1290,$119.21,$119.21
672,XLM/PAX,$0.0422,$118.76,$118.76
673,HC/USDT,$0.8442,$118.08,$118.08
674,CTXC/BNB,$0.4346,$116.48,$116.48
675,PIVX/BNB,$1.75,$115.52,$115.52
676,NEO/PAX,$11.13,$114.87,$114.87
677,ATOM/PAX,$3.18,$114.50,$114.50
678,BAT/TUSD,$0.2225,$110.18,$110.18
679,BZRX/BNB,$0.5419,$108.55,$108.55
680,DGD/BTC,$184.88,$107.23,$107.23
681,GNT/BNB,$0.2572,$105.18,$105.18
682,STORM/ETH,$0.02450,$101.27,$101.27
683,TFUEL/BNB,$0.01327,$97.10,$97.10
684,FTM/USDC,$0.01107,$95.68,$95.68
685,XLM/USDC,$0.0497,$95.23,$95.23
686,PHX/ETH,$0.0984,$93.30,$93.30
687,MCO/ETH,$10.11,$92.95,$92.95
688,POE/ETH,$0.01163,$88.61,$88.61
689,DOGE/USDC,$0.00213,$87.46,$87.46
690,ONT/PAX,$0.8458,$84.58,$84.58
691,USDSB/USDS,$1.27,$81.95,$81.95
692,XLM/TUSD,$0.0684,$80.79,$80.79
693,ETC/TUSD,$3.80,$76.95,$76.95
694,NPXS/BTC,$0.00141,$70.55,$70.55
695,LINK/PAX,$3.99,$69.05,$69.05
696,ANKR/TUSD,$0.00213,$67.22,$67.22
697,POA/ETH,$0.0857,$66.33,$66.33
698,TNB/ETH,$0.01318,$65.88,$65.88
699,BTS/BNB,$0.1527,$63.51,$63.51
700,NCASH/BNB,$0.00716,$61.95,$61.95
701,DOGE/PAX,$0.00217,$60.45,$60.45
702,IRIS/BNB,$0.1752,$59.41,$59.41
703,BCD/ETH,$4.40,$59.16,$59.16
704,FTM/TUSD,$0.01097,$57.72,$57.72
705,CLOAK/ETH,$7.26,$57.41,$57.41
707,ALGO/USDC,$0.2381,$57.04,$57.04
706,STORM/BTC,$0.01646,$56.99,$56.99
708,QSP/BNB,$0.0552,$54.53,$54.53
709,POLY/BNB,$0.1538,$52.61,$52.61
710,POA/BNB,$0.0971,$52.24,$52.24
711,VIA/BNB,$1.01,$51.51,$51.51
712,SNM/ETH,$0.0874,$51.11,$51.11
713,BCPT/ETH,$0.1434,$51.03,$51.03
714,NULS/BNB,$1.33,$50.36,$50.36
715,ERD/USDC,$0.00136,$48.76,$48.76
716,REQ/ETH,$0.0875,$47.96,$47.96
717,ONE/USDC,$0.00520,$46.31,$46.31
718,ARK/ETH,$1.83,$46.02,$46.02
720,BCPT/BNB,$0.1225,$44.60,$44.60
719,TNT/ETH,$0.01612,$44.59,$44.59
721,NAV/BNB,$0.4467,$44.23,$44.23
722,EVX/ETH,$1.09,$43.80,$43.80
723,XEM/BNB,$0.2574,$43.75,$43.75
724,BCH/TUSD,$220.53,$41.37,$41.37
725,ARN/ETH,$0.5145,$41.16,$41.16
726,STORJ/ETH,$0.5241,$40.88,$40.88
727,ZEC/PAX,$42.13,$40.22,$40.22
728,ARDR/ETH,$0.3306,$40.01,$40.01
729,TRB/BNB,$54.51,$39.03,$39.03
730,DUSK/PAX,$0.01892,$38.39,$38.39
731,DENT/BTC,$0.00188,$35.28,$35.28
732,VIA/ETH,$1.50,$34.50,$34.50
733,PHB/USDC,$0.00587,$34.37,$34.37
734,QTUM/BNB,$10.12,$32.38,$32.38
735,CMT/BTC,$0.01317,$31.39,$31.39
736,PAX/ETH,$15.56,$31.12,$31.12
737,REN/BNB,$0.4834,$30.94,$30.94
738,BCH/USDC,$220.40,$30.41,$30.41
739,STPT/BNB,$0.0706,$30.09,$30.09
740,BCPT/TUSD,$0.02610,$30.04,$30.04
741,TFUEL/TUSD,$0.00308,$28.52,$28.52
742,ONG/BNB,$0.5746,$28.10,$28.10
743,GNT/BTC,$0.3189,$28.06,$28.06
744,LEND/ETH,$2.40,$26.44,$26.44
745,WABI/ETH,$0.7063,$26.13,$26.13
746,HIVE/BNB,$0.4523,$25.96,$25.96
747,FIRO/BTC,$6.37,$25.87,$25.87
748,BAT/PAX,$0.2558,$25.58,$25.58
749,MDT/BNB,$0.0777,$24.72,$24.72
750,WINGS/ETH,$0.5863,$24.62,$24.62
751,ONT/USDC,$0.5711,$24.56,$24.56
752,TOMO/BNB,$3.43,$24.37,$24.37
753,WAVES/USDC,$1.20,$24.15,$24.15
754,NANO/BNB,$5.89,$23.57,$23.57
755,CND/BNB,$0.03584,$23.22,$23.22
756,NEO/TUSD,$11.84,$23.04,$23.04
757,RCN/BNB,$0.3662,$22.34,$22.34
758,INS/ETH,$0.8779,$21.95,$21.95
759,SYS/BNB,$0.1724,$21.20,$21.20
760,ARN/BTC,$0.3579,$21.12,$21.12
761,GVT/ETH,$6.74,$20.89,$20.89
762,GTO/TUSD,$0.01238,$20.54,$20.54
763,AGI/BNB,$0.0814,$20.51,$20.51
764,MOD/ETH,$2.04,$20.45,$20.45
765,USDS/PAX,$1.00,$19.81,$19.81
766,USDS/TUSD,$1.00,$19.79,$19.79
767,LTO/BNB,$0.2615,$19.61,$19.61
768,OMG/BNB,$4.15,$19.52,$19.52
769,SNGLS/ETH,$0.0930,$19.25,$19.25
770,RDN/ETH,$1.25,$18.80,$18.80
771,POE/BTC,$0.00235,$18.67,$18.67
772,NAS/BNB,$2.46,$18.48,$18.48
773,NKN/BNB,$0.0788,$18.04,$18.04
774,AION/BNB,$0.2755,$17.91,$17.91
775,SALT/ETH,$1.99,$17.55,$17.55
776,VIBE/ETH,$0.1002,$17.54,$17.54
777,FIRO/BNB,$28.20,$17.20,$17.20
778,BCH/USDT,$220.58,$17.06,$17.06
779,NPXS/USDC,$0.000170,$17.03,$17.03
780,MCO/BTC,$9.94,$16.40,$16.40
781,STEEM/BNB,$0.4724,$16.20,$16.20
782,BTC/USDS,$12242.76,$16.01,$16.01
783,SKY/BNB,$3.19,$15.93,$15.93
784,AE/BNB,$0.8193,$14.75,$14.75
785,CMT/BNB,$0.0608,$13.81,$13.81
786,BEAM/BNB,$2.30,$13.54,$13.54
787,GTO/BNB,$0.0371,$13.47,$13.47
788,TNT/BTC,$0.1227,$12.64,$12.64
789,DCR/BNB,$82.35,$12.52,$12.52
790,PERL/USDC,$0.02448,$12.45,$12.45
791,BTT/PAX,$0.000387,$12.09,$12.09
792,ANKR/PAX,$0.00209,$12.08,$12.08
793,ZEC/TUSD,$51.56,$11.59,$11.59
794,COMP/BNB,$603.00,$11.46,$11.46
795,WAVES/PAX,$0.8035,$11.39,$11.39
796,USDC/PAX,$1.00,$11.26,$11.26
797,PHB/BNB,$0.01444,$11.11,$11.11
799,DUSK/BNB,$0.1244,$11.04,$11.04
798,BCPT/PAX,$0.02763,$11.03,$11.03
800,MCO/USDT,$2.75,$11.00,$11.00
801,LOOM/BNB,$0.0933,$10.92,$10.92
802,ETC/USDC,$4.71,$10.75,$10.75
803,AMB/BNB,$0.0722,$10.54,$10.54
804,ANKR/USDC,$0.00210,$10.49,$10.49
805,TFUEL/PAX,$0.00349,$10.47,$10.47
806,MBL/BTC,$0.00235,$10.28,$10.28
807,USDS/USDT,$0.9991,$10.10,$10.10
808,FTM/PAX,$0.01029,$10.02,$10.02
809,TOMO/USDC,$0.3672,$10.01,$10.01
810,CLOAK/BTC,$7.31,$9.65,$9.65
811,USDS/USDC,$1.00,$9.47,$9.47
812,HC/BTC,$0.9406,$8.77,$8.77
813,RDN/BNB,$0.6569,$7.03,$7.03
814,DOCK/ETH,$0.0575,$6.62,$6.62
815,ENG/ETH,$3.27,$6.54,$6.54
816,MDA/ETH,$3.17,$6.35,$6.35
817,LUN/ETH,$8.57,$6.26,$6.26
818,USDSB/USDT,$1.00,$6.11,$6.11
819,GTO/ETH,$0.0560,$6.11,$6.11
820,DNT/ETH,$0.0491,$6.09,$6.09
821,SKY/ETH,$3.89,$5.99,$5.99
822,GNT/ETH,$0.3867,$5.80,$5.80
823,FIRO/XRP,$9.84,$5.71,$5.71
824,AST/ETH,$0.1220,$5.49,$5.49
825,FUEL/BTC,$0.01223,$5.44,$5.44
826,EDO/BTC,$2.64,$5.28,$5.28
827,RCN/ETH,$0.6589,$5.27,$5.27
828,FUEL/ETH,$0.0389,$5.25,$5.25
829,WPR/ETH,$0.0704,$5.14,$5.14
830,DLT/ETH,$0.2945,$5.01,$5.01
831,OAX/ETH,$0.3115,$4.98,$4.98
832,GTO/PAX,$0.01362,$4.41,$4.41
833,WTC/ETH,$0.4153,$2.79,$2.79
834,DAI/BNB,$5.14,$2.57,$2.57
835,WIN/BTC,$0.000470,$2.53,$2.53
836,NEBL/BNB,$1.43,$2.14,$2.14
837,DOGE/BNB,$0.01610,$1.79,$1.79
838,WAVES/TUSD,$1.07,$1.76,$1.76
839,LSK/BNB,$6.85,$1.37,$1.37
840,NCASH/BTC,$0.00235,$1.18,$1.18
841,REP/BNB,$47.10,$0.4710,$0.4710
842,QLC/BNB,$0.0972,$0.2916,$0.2916
843,BCPT/USDC,$0.02729,$0.01092,$0.01092
844,ADA/PAX,$0.03260,$0.00652,$0.00652
845,ONE/PAX,$0.00496,$0.00149,$0.00149
846,ONE/TUSD,$0.00473,$0.000945,$0.000945
855,BSV/BTC,$525.75,$0,$0
856,USDC/BTC,$14.64,$0,$0
857,BCH/ETH,$4014.42,$0,$0
858,YOYOW/BNB,$0.1073,$0,$0
859,YOYOW/ETH,$0.1094,$0,$0
854,BSV/USDT,$468.63,$0,$0
853,BSV/TUSD,$475.05,$0,$0
852,BSV/PAX,$467.90,$0,$0
851,BSV/USDC,$462.88,$0,$0
860,YOYOW/BTC,$0.1072,$0,$0
849,PHB/PAX,$0,$0,$0
848,COCOS/BNB,$0.000908,$0,$0
847,COCOS/USDT,$0.000996,$0,$0
850,ETC/PAX,$0.00797,$0,$0
